file,passed,verdict
control_codeblocks.pdf,True,PASS - The text is readable and correctly structured.
control_headings.pdf,True,PASS - The text is readable and structured properly.
control_lists.pdf,True,PASS - Text is readable and structured.
control_tables.pdf,True,PASS - Text is readable and structured properly.
experiment_fastapi.pdf,True,PASS - Text is readable and structured correctly.
experiment_kubernetes.pdf,True,PASS - Text is readable with recognizable structure.
experiment_ohmyzsh.pdf,True,PASS - The text is readable and well-structured.
missing_codeblock.pdf,True,PASS - Text is readable and has recognizable structure.
missing_heading.pdf,True,PASS - Text is readable and recognizable.
missing_list_item.pdf,True,PASS - Text is readable and structured.
missing_table_row.pdf,True,PASS - Text is readable and structured.
